Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Country,Action
DAR,Darling Ingredients Inc,Common stocks,Large cap,Consumer Staples,"$11,170,767,511 ",0.00%,USA,Analyze
DASH,DoorDash Inc,Common stocks,Large cap,Consumer Discretionary,"$58,478,029,400 ",0.00%,USA,Analyze
DBX,Dropbox Inc Class A,Common stocks,Mid cap,Information Technology,"$9,808,437,701 ",0.00%,USA,Analyze
DCI,Donaldson Inc,Common stocks,Mid cap,Industrials,"$8,142,912,985 ",1.30%,USA,Analyze
DCT,Duck Creek Technologies,Common stocks,Mid cap,Information Technology,"$5,880,955,133 ",0.00%,USA,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$39,724,425,382 ",1.60%,USA,Analyze
DDOG,"Datadog, Inc. - Class A",Common stocks,Large cap,Information Technology,"$25,683,922,699 ",0.00%,USA,Analyze
DE,Deere & Company,Common stocks,Large cap,Industrials,"$110,882,936,022 ",0.93%,USA,Analyze
DECK,Deckers Outdoor Corp,Common stocks,Large cap,Consumer Discretionary,"$11,575,020,128 ",0.00%,USA,Analyze
DEI,"Douglas Emmett, Inc",REITs,Mid cap,Real Estate,"$5,904,587,642 ",3.29%,USA,Analyze
DELL,Dell Technologies Inc. Class C,Common stocks,Large cap,Information Technology,"$69,837,040,000 ",0.00%,USA,Analyze
DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$38,031,670,118 ",1.05%,USA,Analyze
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$54,320,176,535 ",0.68%,USA,Analyze
DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$16,907,373,430 ",1.70%,USA,Analyze
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$33,139,181,089 ",0.84%,USA,Analyze
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$207,159,375,772 ",0.27%,USA,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$324,758,436,047 ",0.49%,USA,Analyze
DISCK,"Discovery Communications, Inc. - Series C",Common stocks,Large cap,Communication Services,"$14,499,134,725 ",0.00%,USA,Analyze
DISH,Dish Network Corp Class A,Common stocks,Large cap,Communication Services,"$22,459,900,758 ",0.00%,USA,Analyze
DKNG,DraftKings Inc. - Class A,Common stocks,Large cap,Consumer Discretionary,"$19,736,279,258 ",0.00%,USA,Analyze
DKS,Dicks Sporting Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,816,164,713 ",1.29%,USA,Analyze
DLB,Dolby Laboratories Inc Class A,Common stocks,Mid cap,Information Technology,"$6,341,945,970 ",0.90%,USA,Analyze
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$43,302,555,276 ",2.93%,USA,Analyze
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$23,332,239,984 ",0.00%,USA,Analyze
DNB,"Dun & Bradstreet Holdings, Inc.",Common stocks,Mid cap,Industrials,"$8,770,551,110 ",0.00%,USA,Analyze
DOCU,Docusign Inc.,Common stocks,Large cap,Information Technology,"$59,574,736,171 ",0.00%,USA,Analyze
DOV,Dover Corp,Common stocks,Large cap,Industrials,"$23,452,675,595 ",1.21%,USA,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$46,245,308,574 ",4.46%,USA,Analyze
DOX,Amdocs Ltd,Common stocks,Large cap,Information Technology,"$10,222,660,891 ",1.75%,Guernsey,Analyze
DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$19,691,942,022 ",0.64%,USA,Analyze
DRE,Duke Realty Corporation,REITs,Large cap,Real Estate,"$19,086,750,243 ",1.95%,USA,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$19,267,887,234 ",1.80%,USA,Analyze
DRVN,Driven Brands Holdings Inc.,Common stocks,Mid cap,Industrials,"$5,184,744,685 ",0.00%,USA,Analyze
DSEY,"Diversey Holdings, Ltd.",Common stocks,Mid cap,Materials,"$4,934,395,164 ",0.00%,USA,Analyze
DT,"Dynatrace, Inc.",Common stocks,Large cap,Information Technology,"$17,757,948,512 ",0.00%,USA,Analyze
DTE,DTE Energy,Common stocks,Large cap,Utilities,"$22,449,126,593 ",3.09%,USA,Analyze
DTM,"DT Midstream, Inc.",Common stocks,Mid cap,Energy,"$4,057,928,192 ",0.00%,USA,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$80,444,918,418 ",3.64%,USA,Analyze
DV,"DoubleVerify Holdings, Inc.",Common stocks,Mid cap,Information Technology,"$5,425,037,155 ",0.00%,USA,Analyze
DVA,Davita Inc,Common stocks,Large cap,Health Care,"$12,716,388,000 ",0.00%,USA,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$18,039,385,000 ",1.64%,USA,Analyze
DXC,DXC Technology Company,Common stocks,Large cap,Information Technology,"$10,179,580,738 ",0.00%,USA,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$43,767,144,002 ",0.00%,USA,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$41,569,268,314 ",0.35%,USA,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$49,909,227,453 ",0.92%,USA,Analyze
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$62,660,320,959 ",0.87%,USA,Analyze
ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$25,366,194,476 ",4.12%,USA,Analyze
EEFT,Euronet Worldwide Inc,Common stocks,Mid cap,Information Technology,"$7,067,453,806 ",0.00%,USA,Analyze
EFX,Equifax Inc,Common stocks,Large cap,Industrials,"$31,081,907,735 ",0.61%,USA,Analyze
EHC,Encompass Health Corp,Common stocks,Mid cap,Health Care,"$8,003,209,764 ",1.04%,USA,Analyze
EIX,Edison International,Common stocks,Large cap,Utilities,"$21,055,017,561 ",4.65%,USA,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$120,530,847,907 ",0.62%,USA,Analyze
ELAN,Elanco Animal Health Incorporated,Common stocks,Large cap,Health Care,"$16,937,985,435 ",0.00%,USA,Analyze
ELS,"Equity LifeStyle Properties, Inc",REITs,Large cap,Real Estate,"$15,015,466,612 ",1.70%,USA,Analyze
EMN,Eastman Chemical,Common stocks,Large cap,Materials,"$15,239,606,524 ",2.42%,USA,Analyze
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$58,974,498,000 ",2.03%,USA,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$23,975,279,709 ",0.00%,USA,Analyze
ENTG,Entegris Inc,Common stocks,Large cap,Information Technology,"$16,081,257,731 ",0.27%,USA,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$43,285,991,899 ",2.10%,USA,Analyze
EPAM,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$31,230,754,887 ",0.00%,USA,Analyze
EPR,EPR Properties,REITs,Mid cap,Real Estate,"$3,931,326,626 ",0.73%,USA,Analyze
EQH,AXA Equitable Holdings Inc,Common stocks,Large cap,Financials,"$12,796,789,650 ",2.29%,USA,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$74,307,427,826 ",1.33%,USA,Analyze
EQR,Equity Residential,REITs,Large cap,Real Estate,"$31,599,714,472 ",2.82%,USA,Analyze
EQT,EQT Corporation,Common stocks,Mid cap,Energy,"$5,825,051,788 ",0.15%,USA,Analyze
ERIE,Erie Indemnity Class A,Common stocks,Mid cap,Financials,"$8,501,559,856 ",2.19%,USA,Analyze
ES,Eversource Energy,Common stocks,Large cap,Utilities,"$29,476,266,023 ",2.70%,USA,Analyze
ESI,Element Solutions Inc.,Common stocks,Mid cap,Materials,"$5,837,499,613 ",0.68%,USA,Analyze
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$21,522,439,079 ",2.49%,USA,Analyze
ESTC,Elastic N.V.,Common stocks,Large cap,Information Technology,"$13,509,485,203 ",0.00%,USA,Analyze
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$62,177,955,000 ",1.89%,USA,Analyze
ETR,Entergy Corp,Common stocks,Large cap,Utilities,"$20,866,881,354 ",3.59%,USA,Analyze
ETSY,Etsy Inc,Common stocks,Large cap,Consumer Discretionary,"$26,189,490,318 ",0.00%,USA,Analyze
EVBG,Everbridge Inc,Common stocks,Mid cap,Information Technology,"$5,298,799,567 ",0.00%,USA,Analyze
EVR,Evercore Inc. Class A,Common stocks,Mid cap,Financials,"$5,543,390,535 ",1.37%,USA,Analyze
EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$14,936,777,755 ",3.20%,USA,Analyze
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$67,690,028,648 ",0.00%,USA,Analyze
EWBC,East West Bancorp Inc,Common stocks,Large cap,Financials,"$10,343,260,421 ",1.65%,USA,Analyze
EXAS,Exact Sciences Corp,Common stocks,Large cap,Health Care,"$19,457,274,723 ",0.00%,USA,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$45,350,702,656 ",3.25%,USA,Analyze
EXEL,Exelixis Inc,Common stocks,Mid cap,Health Care,"$5,174,022,755 ",0.00%,USA,Analyze
EXP,Eagle Materials Inc,Common stocks,Mid cap,Materials,"$5,700,124,700 ",0.19%,USA,Analyze
EXPD,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"$21,887,601,235 ",0.85%,USA,Analyze
EXPE,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$23,013,452,281 ",0.00%,USA,Analyze
EXR,Extra Space Storage Inc,REITs,Large cap,Real Estate,"$22,835,471,830 ",2.20%,USA,Analyze
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$55,008,717,133 ",0.00%,USA,Analyze
FAF,First American Financial Corp,Common stocks,Mid cap,Financials,"$7,160,183,524 ",2.76%,USA,Analyze
FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$14,525,038,782 ",1.91%,USA,Analyze
FAST,Fastenal,Common stocks,Large cap,Industrials,"$31,237,086,010 ",1.99%,USA,Analyze
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$1,063,000,887,675 ",0.00%,USA,Analyze
FBHS,Fortune Brands Home And Security,Common stocks,Large cap,Industrials,"$13,496,705,570 ",1.02%,USA,Analyze
FCN,FTI Consulting Inc,Common stocks,Mid cap,Industrials,"$4,724,246,738 ",0.00%,USA,Analyze
FCNCA,First Citizens Bancshares Inc Class A,Common stocks,Mid cap,Financials,"$6,883,413,176 ",0.23%,USA,Analyze
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$53,711,558,063 ",0.41%,USA,Analyze
FDS,Factset Research Systems Inc,Common stocks,Large cap,Financials,"$12,948,972,638 ",0.91%,USA,Analyze
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$79,536,099,020 ",0.90%,USA,Analyze
FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"$21,092,945,370 ",3.96%,USA,Analyze
FEYE,Fireeye Inc,Common stocks,Mid cap,Information Technology,"$4,895,283,569 ",0.00%,USA,Analyze
FFIV,F5 Networks Inc,Common stocks,Large cap,Information Technology,"$11,483,019,341 ",0.00%,USA,Analyze
FHB,First Hawaiian Inc,Common stocks,Mid cap,Financials,"$3,664,737,552 ",3.65%,USA,Analyze
FHN,First Horizon National Corp,Common stocks,Mid cap,Financials,"$8,550,757,090 ",3.83%,USA,Analyze
FICO,Fair Isaac Corp,Common stocks,Large cap,Information Technology,"$15,537,781,568 ",0.00%,USA,Analyze
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$92,039,035,318 ",0.99%,USA,Analyze
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$74,244,770,686 ",0.00%,USA,Analyze
FITB,Fifth Third Bancorp,Common stocks,Large cap,Financials,"$25,568,049,224 ",2.94%,USA,Analyze
FIVE,Five Below Inc,Common stocks,Large cap,Consumer Discretionary,"$10,925,985,898 ",0.00%,USA,Analyze
FIVN,Five9 Incinary,Common stocks,Large cap,Information Technology,"$13,299,326,456 ",0.00%,USA,Analyze
FL,Foot Locker Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,063,557,780 ",1.19%,USA,Analyze
FLO,Flowers Foods Inc,Common stocks,Mid cap,Consumer Staples,"$5,053,722,051 ",3.35%,USA,Analyze
FLS,Flowserve Corp,Common stocks,Mid cap,Industrials,"$5,460,207,048 ",1.89%,USA,Analyze
FLT,Fleetcor Technologies Inc,Common stocks,Large cap,Information Technology,"$21,383,329,618 ",0.00%,USA,Analyze
FMC,FMC Corp,Common stocks,Large cap,Materials,"$13,742,109,406 ",1.75%,USA,Analyze
FNB,FNB Corp,Common stocks,Mid cap,Financials,"$3,660,156,019 ",4.13%,USA,Analyze
FND,Floor Decor Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$12,545,353,642 ",0.00%,USA,Analyze
FNF,Fidelity National Financial Inc,Common stocks,Large cap,Financials,"$12,981,353,748 ",3.10%,USA,Analyze
FOUR,"Shift4 Payments, Inc. Class A",Common stocks,Mid cap,Information Technology,"$3,777,328,455 ",0.00%,USA,Analyze
FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$20,745,365,790 ",1.34%,USA,Analyze
FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$20,745,365,790 ",1.25%,USA,Analyze
FR,"First Industrial Realty Trust, Inc",REITs,Mid cap,Real Estate,"$7,044,120,270 ",1.89%,USA,Analyze
FRC,First Republic Bank,Common stocks,Large cap,Financials,"$33,740,321,580 ",0.42%,USA,Analyze
FRPT,Freshpet Inc,Common stocks,Mid cap,Consumer Staples,"$6,763,505,250 ",0.00%,USA,Analyze
FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"$9,066,286,636 ",3.58%,USA,Analyze
FSLR,First Solar Inc,Common stocks,Mid cap,Information Technology,"$8,648,467,289 ",0.00%,USA,Analyze
FSLY,"Fastly, Inc. Class A",Common stocks,Mid cap,Information Technology,"$5,181,026,000 ",0.00%,USA,Analyze
FTDR,Frontdoor Inc,Common stocks,Mid cap,Consumer Discretionary,"$4,223,418,185 ",0.00%,USA,Analyze
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$44,477,929,346 ",0.00%,USA,Analyze
FTV,Fortive Corp,Common stocks,Large cap,Industrials,"$23,348,106,149 ",0.39%,USA,Analyze
FWONA,Liberty Media Formula One Corp Series A,Common stocks,Large cap,Communication Services,"$27,575,752,274 ",0.00%,USA,Analyze
FWONK,Liberty Media Formula One Corp Series C,Common stocks,Large cap,Communication Services,"$27,575,752,274 ",0.00%,USA,Analyze
G,Genpact Ltd,Common stocks,Mid cap,Information Technology,"$9,274,031,944 ",0.83%,USA,Analyze
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$54,236,167,089 ",2.36%,USA,Analyze
GDDY,GoDaddy Inc. Class A,Common stocks,Large cap,Information Technology,"$14,343,257,012 ",0.00%,USA,Analyze
GE,General Electric,Common stocks,Large cap,Industrials,"$113,420,041,720 ",0.31%,USA,Analyze
GGG,Graco Inc,Common stocks,Large cap,Industrials,"$12,951,284,309 ",0.96%,USA,Analyze
GH,Guardant Health Inc,Common stocks,Large cap,Health Care,"$11,301,316,153 ",0.00%,USA,Analyze
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$86,224,748,913 ",3.98%,USA,Analyze
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$36,019,721,403 ",3.42%,USA,Analyze
GL,Globe Life Inc.,Common stocks,Mid cap,Financials,"$9,672,587,994 ",0.82%,USA,Analyze
GLOB,Globant Sa,Common stocks,Mid cap,Information Technology,"$9,416,597,323 ",0.00%,Argentina,Analyze
GLPI,"Gaming and Leisure Properties, Inc",REITs,Large cap,Real Estate,"$10,955,115,706 ",4.02%,USA,Analyze
GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$34,956,711,522 ",2.22%,USA,Analyze
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$80,903,914,420 ",0.00%,USA,Analyze
GME,Gamestop Corp Class A,Common stocks,Large cap,Consumer Discretionary,"$13,209,675,196 ",0.00%,USA,Analyze
GMED,Globus Medical Inc Class A,Common stocks,Mid cap,Health Care,"$8,320,902,404 ",0.00%,USA,Analyze
GNRC,Generac Holdings Inc,Common stocks,Large cap,Industrials,"$27,992,735,766 ",0.00%,USA,Analyze
GNTX,Gentex Corp,Common stocks,Mid cap,Consumer Discretionary,"$7,791,997,266 ",1.48%,USA,Analyze
GO,Grocery Outlet Holding Corp.,Common stocks,Mid cap,Consumer Staples,"$3,148,775,467 ",0.00%,USA,Analyze
GOCO,"GoHealth, Inc. - Class A",Common stocks,Small cap,Financials,"$909,930,012 ",0.00%,USA,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,817,040,051,763 ",0.00%,USA,Analyze
GPC,Genuine Parts,Common stocks,Large cap,Consumer Discretionary,"$18,432,880,746 ",2.47%,USA,Analyze
GPK,Graphic Packaging Holding,Common stocks,Mid cap,Materials,"$4,970,688,905 ",1.70%,USA,Analyze
GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"$56,421,628,789 ",0.41%,USA,Analyze
GPS,Gap Inc,Common stocks,Large cap,Consumer Discretionary,"$11,328,069,060 ",1.21%,USA,Analyze
GRA,W.R. Grace,Common stocks,Mid cap,Materials,"$4,608,461,435 ",1.33%,USA,Analyze
GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$29,453,854,165 ",1.62%,USA,Analyze
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$127,716,608,725 ",1.32%,USA,Analyze
GTES,Gates Industrial Corporation Plc,Common stocks,Mid cap,Industrials,"$5,292,793,773 ",0.00%,USA,Analyze
GWRE,Guidewire Software Inc,Common stocks,Mid cap,Information Technology,"$9,470,491,630 ",0.00%,USA,Analyze
GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$23,799,745,424 ",1.35%,USA,Analyze
H,Hyatt Hotels Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$3,235,660,355 ",0.00%,USA,Analyze
HAIN,Hain Celestial Group Inc,Common stocks,Mid cap,Consumer Staples,"$3,969,864,148 ",0.00%,USA,Analyze
HAL,Halliburton,Common stocks,Large cap,Energy,"$18,424,431,800 ",0.87%,USA,Analyze
HAS,Hasbro Inc,Common stocks,Large cap,Consumer Discretionary,"$14,268,616,955 ",2.59%,USA,Analyze
HAYW,"Hayward Holdings, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$5,527,942,067 ",0.00%,USA,Analyze
HBAN,Huntington Bancshares Inc,Common stocks,Large cap,Financials,"$14,171,296,688 ",4.24%,USA,Analyze
HBI,Hanesbrands Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,406,268,342 ",3.23%,USA,Analyze
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$81,261,895,680 ",0.39%,USA,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$352,129,928,172 ",1.89%,USA,Analyze
HE,Hawaiian Electric Industries Inc,Common stocks,Mid cap,Utilities,"$4,718,824,127 ",3.06%,USA,Analyze
HEI,Heico Corp,Common stocks,Large cap,Industrials,"$17,397,471,162 ",0.13%,USA,Analyze
HES,Hess Corp,Common stocks,Large cap,Energy,"$23,393,761,521 ",1.31%,USA,Analyze
HFC,HollyFrontier Corp,Common stocks,Mid cap,Energy,"$4,715,719,913 ",3.58%,USA,Analyze
HHC,Howard Hughes Corp,Common stocks,Mid cap,Real Estate,"$4,992,433,018 ",0.00%,USA,Analyze
HIG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$22,120,839,497 ",2.16%,USA,Analyze
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$8,254,469,198 ",2.15%,USA,Analyze
HIW,"Highwoods Properties, Inc",REITs,Mid cap,Real Estate,"$4,892,700,707 ",4.01%,USA,Analyze
HLF,Herbalife Ltd,Common stocks,Mid cap,Consumer Staples,"$6,180,201,544 ",0.00%,USA,Analyze
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$35,281,866,566 ",0.00%,USA,Analyze
HOG,Harley Davidson Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,272,627,588 ",0.83%,USA,Analyze
HOLX,Hologic Inc,Common stocks,Large cap,Health Care,"$18,328,348,421 ",0.00%,USA,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$158,274,031,501 ",0.41%,USA,Analyze
HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$18,844,534,417 ",3.29%,USA,Analyze
HPP,"Hudson Pacific Properties, Inc",REITs,Mid cap,Real Estate,"$4,143,617,440 ",3.59%,USA,Analyze
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$34,211,756,583 ",2.63%,USA,Analyze
HRB,H&R Block Inc,Common stocks,Mid cap,Consumer Discretionary,"$4,422,326,493 ",4.23%,USA,Analyze
HRC,Hill-Rom Holdings Inc,Common stocks,Mid cap,Health Care,"$8,086,206,356 ",0.75%,USA,Analyze
HRL,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$25,618,460,058 ",2.03%,USA,Analyze
HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"$10,885,656,793 ",0.00%,USA,Analyze
HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"$11,424,473,033 ",0.00%,USA,Analyze
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$37,049,276,000 ",1.79%,USA,Analyze
HTA,"Healthcare Trust of America, Inc",REITs,Mid cap,Real Estate,"$6,247,495,233 ",4.41%,USA,Analyze
HUBB,Hubbell Inc,Common stocks,Large cap,Industrials,"$10,554,201,419 ",1.97%,USA,Analyze
HUBS,Hubspot Inc,Common stocks,Large cap,Information Technology,"$27,924,258,253 ",0.00%,USA,Analyze
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$60,289,731,881 ",0.57%,USA,Analyze
HUN,Huntsman Corp,Common stocks,Mid cap,Materials,"$5,832,579,655 ",2.54%,USA,Analyze
HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"$14,119,906,790 ",0.00%,USA,Analyze
HXL,Hexcel Corp,Common stocks,Mid cap,Industrials,"$5,000,386,733 ",0.00%,USA,Analyze
HZNP,Horizon Pharma Plc,Common stocks,Large cap,Health Care,"$22,393,690,736 ",0.00%,USA,Analyze
IAA,"IAA, Inc.",Common stocks,Mid cap,Industrials,"$8,141,920,362 ",0.00%,USA,Analyze
IAC,IAC/InterActive,Common stocks,Large cap,Communication Services,"$12,377,209,856 ",0.24%,USA,Analyze
IART,Integra Lifesciences Holdings Corp,Common stocks,Mid cap,Health Care,"$5,873,640,496 ",0.00%,USA,Analyze
IBKR,Interactive Brokers Group Inc,Common stocks,Mid cap,Financials,"$5,507,961,713 ",0.49%,USA,Analyze
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$127,568,254,154 ",4.49%,USA,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$67,773,879,875 ",1.04%,USA,Analyze
ICUI,ICU Medical Inc,Common stocks,Mid cap,Health Care,"$4,164,818,017 ",0.00%,USA,Analyze
IDA,"IDACORP, Inc.",Common stocks,Mid cap,Utilities,"$5,274,321,058 ",2.65%,USA,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$58,474,386,028 ",0.00%,USA,Analyze
IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$17,170,284,266 ",0.92%,USA,Analyze
IFF,International Flavors & Fragrances,Common stocks,Large cap,Materials,"$37,039,277,846 ",2.05%,USA,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$71,760,460,000 ",0.00%,USA,Analyze
INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$17,002,284,007 ",0.00%,USA,Analyze
INFO,IHS Markit Ltd,Common stocks,Large cap,Industrials,"$48,049,179,817 ",0.65%,USA,Analyze
INGR,Ingredion Inc,Common stocks,Mid cap,Consumer Staples,"$5,896,518,442 ",2.88%,USA,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$220,335,670,000 ",2.47%,USA,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$145,054,754,716 ",0.44%,USA,Analyze
INVH,Invitation Homes Inc,REITs,Large cap,Real Estate,"$22,847,929,969 ",1.58%,USA,Analyze
IONS,Ionis Pharmaceuticals Inc,Common stocks,Mid cap,Health Care,"$5,274,836,508 ",0.00%,USA,Analyze
IOVA,Iovance Biotherapeutics Inc,Common stocks,Mid cap,Health Care,"$3,403,953,510 ",0.00%,USA,Analyze
IP,International Paper,Common stocks,Large cap,Materials,"$22,893,243,757 ",3.46%,USA,Analyze
IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"$14,015,974,338 ",2.91%,USA,Analyze
IPGP,IPG Photonics Corp,Common stocks,Large cap,Information Technology,"$11,403,135,566 ",0.00%,USA,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$47,395,891,718 ",0.00%,USA,Analyze
IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$20,490,269,329 ",4.34%,USA,Analyze
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$12,591,562,879 ",5.54%,USA,Analyze
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$114,722,063,123 ",0.00%,USA,Analyze
IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$22,655,342,433 ",0.00%,USA,Analyze
ITT,ITT Inc,Common stocks,Mid cap,Industrials,"$8,348,256,000 ",0.80%,USA,Analyze
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$71,705,380,164 ",1.99%,USA,Analyze
IVZ,Invesco Ltd,Common stocks,Large cap,Financials,"$11,568,578,801 ",2.51%,USA,Analyze
J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$17,359,014,041 ",0.46%,USA,Analyze
JAMF,Jamf Holding Corp.,Common stocks,Mid cap,Information Technology,"$3,725,161,386 ",2.88%,USA,Analyze
JAZZ,Jazz Pharmaceuticals Plc,Common stocks,Mid cap,Health Care,"$9,857,791,257 ",0.00%,USA,Analyze
JBGS,JBG Smith Properties,REITs,Mid cap,Real Estate,"$4,337,759,978 ",2.71%,USA,Analyze
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$17,493,835,043 ",0.67%,USA,Analyze
JBL,Jabil Inc,Common stocks,Mid cap,Information Technology,"$8,380,828,836 ",0.56%,USA,Analyze
JBLU,Jetblue Airways Corp,Common stocks,Mid cap,Industrials,"$5,088,354,758 ",0.00%,USA,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$50,628,754,028 ",1.49%,USA,Analyze
JEF,Jefferies Financial Group Inc,Common stocks,Mid cap,Financials,"$8,124,872,777 ",2.11%,USA,Analyze
JHG,Janus Henderson Group Plc,Common stocks,Mid cap,Financials,"$6,983,621,554 ",3.56%,USA,Analyze
JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"$13,059,678,759 ",1.01%,USA,Analyze
JLL,Jones Lang LaSalle Inc,Common stocks,Large cap,Real Estate,"$10,732,946,892 ",0.21%,USA,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$452,601,771,036 ",2.36%,USA,Analyze
